Date,,"Thu, 15 Dec 2016 10:55:52 +0000",,,
Cite,,"Wessa, P. (2016), Free Statistics Software, Office for Research Development and Education, version 1.1.23-r7, URL http://www.wessa.net/",,,
All rights reserved. Academic license for non-commercial use only.,,,,,
,,,,,
,,,,,
Select a Descriptive Statistics Module in the right panel to use the (log) returns of the (close) time series for analysis.,,,,,
,,,,,
Time Series - Goldman Sachs Group,,,,,
Date,Open,High,Low,Close,Log Return
02/01/09,84.019997,87.620003,82.190002,86.760002,-
05/01/09,85.809998,90.949997,85.459999,88.779999,0.023
06/01/09,90.050003,92.199997,87.720001,88.709999,-0.0008
07/01/09,86.910004,87.849998,83.650002,84.5,-0.0486
08/01/09,83.519997,86.519997,82.68,85.410004,0.0107
09/01/09,85.910004,86.870003,80.410004,83.919998,-0.0176
12/01/09,83.360001,83.760002,76.43,77.669998,-0.0774
13/01/09,74.160004,78.879997,73.709999,77.919998,0.0032
14/01/09,75.879997,76.879997,73.449997,75.690002,-0.029
15/01/09,75.029999,76.199997,69,73.830002,-0.0249
16/01/09,75.980003,76.5,69.949997,73.050003,-0.0106
20/01/09,69.599998,70.260002,59.130001,59.200001,-0.2102
21/01/09,63.389999,70.099998,63.25,69.900002,0.1661
22/01/09,67.279999,73.690002,65.529999,71.029999,0.016
23/01/09,67.870003,75.349998,67.120003,74.910004,0.0532
26/01/09,76.059998,78.75,72.769997,74.199997,-0.0095
27/01/09,75.510002,78.650002,74.769997,78.260002,0.0533
28/01/09,84.279999,89.099998,83.370003,87.699997,0.1139
29/01/09,85.129997,86.589996,82.120003,82.720001,-0.0585
30/01/09,83.589996,84.779999,79.349998,80.730003,-0.0244
02/02/09,78.779999,84,78.57,83.57,0.0346
03/02/09,84.300003,84.5,79.800003,82.809998,-0.0091
04/02/09,83.699997,89.919998,83.449997,87.970001,0.0604
05/02/09,86.769997,94.699997,86.260002,92.849998,0.054
06/02/09,94.269997,96.580002,91.559998,96.57,0.0393
09/02/09,97.019997,98.660004,94.629997,97.889999,0.0136
10/02/09,96.790001,97.889999,89.699997,90.400002,-0.0796
11/02/09,91.75,94.940002,90.419998,94.709999,0.0466
12/02/09,92.650002,96.199997,91.470001,95.580002,0.0091
13/02/09,95,97.980003,94.5,96.449997,0.0091
17/02/09,92.260002,92.480003,84.790001,85.709999,-0.1181
18/02/09,87.690002,87.690002,81.07,84.5,-0.0142
19/02/09,86.410004,88.870003,85.529999,86.010002,0.0177
20/02/09,81.949997,87.150002,79.269997,84.589996,-0.0166
23/02/09,86.510002,87.769997,79.790001,80.07,-0.0549
24/02/09,81.529999,93.089996,81.510002,92.980003,0.1495
25/02/09,91.550003,93.5,87.300003,89.919998,-0.0335
26/02/09,92.300003,94,90.019997,92.150002,0.0245
27/02/09,88.629997,93.379997,87.5,91.080002,-0.0117
02/03/09,87.860001,90.209999,85.559998,86.269997,-0.0543
03/03/09,88.330002,88.839996,80.290001,82.370003,-0.0463
04/03/09,84.900002,88,81.5,85.470001,0.0369
05/03/09,82.879997,85.699997,79.349998,81.720001,-0.0449
06/03/09,82.330002,84.480003,73.25,75.650002,-0.0772
