Date,,"Thu, 15 Dec 2016 10:56:10 +0000",,,
Cite,,"Wessa, P. (2016), Free Statistics Software, Office for Research Development and Education, version 1.1.23-r7, URL http://www.wessa.net/",,,
All rights reserved. Academic license for non-commercial use only.,,,,,
,,,,,
,,,,,
Select a Descriptive Statistics Module in the right panel to use the (log) returns of the (close) time series for analysis.,,,,,
,,,,,
Time Series - JPMorgan Chase,,,,,
Date,Open,High,Low,Close,Log Return
02/01/09,31.190001,31.639999,30.469999,31.35,-
05/01/09,30.73,30.77,29.08,29.25,-0.0693
06/01/09,29.790001,30.42,29.51,29.879999,0.0213
07/01/09,29.15,29.4,28,28.09,-0.0618
08/01/09,27.9,27.950001,26.860001,27.219999,-0.0315
09/01/09,27.549999,27.549999,25.809999,25.969999,-0.047
12/01/09,25.92,26.15,24.5,24.91,-0.0417
13/01/09,25.209999,26.59,24.27,26.35,0.0562
14/01/09,25.59,26.280001,24.76,25.91,-0.0168
15/01/09,26.540001,27.049999,23.76,24.34,-0.0625
16/01/09,24.83,25,20.530001,22.82,-0.0645
20/01/09,21,21.27,17.700001,18.09,-0.2323
21/01/09,19.290001,22.84,18.879999,22.629999,0.2239
22/01/09,22.360001,23.83,21.209999,23.1,0.0206
23/01/09,21.92,24.58,21.809999,24.280001,0.0498
26/01/09,25,25.75,23.74,24.5,0.009
27/01/09,25.120001,25.17,24.059999,25.059999,0.0226
28/01/09,27.190001,27.77,26.34,27.66,0.0987
29/01/09,26.74,27.18,25.25,25.43,-0.0841
30/01/09,25.809999,26.98,24.6,25.51,0.0031
02/02/09,25,25.68,24.35,25.200001,-0.0122
03/02/09,25.030001,25.450001,23.700001,24.049999,-0.0467
04/02/09,24.25,25.5,23.74,24.040001,-0.0004
05/02/09,23.74,25.32,22.49,24.540001,0.0206
06/02/09,25.51,27.799999,25.299999,27.629999,0.1186
09/02/09,26.65,27.969999,26.299999,27.280001,-0.0127
10/02/09,26.860001,27.610001,24.299999,24.620001,-0.1026
11/02/09,25.25,26.620001,25.139999,26.09,0.058
12/02/09,25.35,26.219999,24.17,26.190001,0.0038
13/02/09,25.25,25.889999,24.66,24.690001,-0.059
17/02/09,22.799999,23.200001,21.65,21.65,-0.1314
18/02/09,22.18,22.299999,21,21.51,-0.0065
19/02/09,22.07,22.299999,20.540001,20.6,-0.0432
20/02/09,19.709999,21,18.75,19.9,-0.0346
23/02/09,20.9,21.559999,19.48,19.51,-0.0198
24/02/09,20.129999,21.1,18.959999,21.02,0.0745
25/02/09,20.83,23.219999,20.120001,21.73,0.0332
26/02/09,23.32,24.18,22.799999,23.049999,0.059
27/02/09,21.629999,23.6,21.549999,22.85,-0.0087
02/03/09,21.700001,22.43,21.07,21.16,-0.0768
03/03/09,21.68,21.9,20.6,21.01,-0.0071
04/03/09,21.74,21.74,18.799999,19.299999,-0.0849
05/03/09,18.5,19,16.040001,16.6,-0.1507
06/03/09,17.190001,17.67,14.96,15.93,-0.0412
09/03/09,15.37,17.290001,15.02,15.9,-0.0019
10/03/09,17.35,19.5,17.129999,19.5,0.2041
11/03/09,20.35,20.91,19.120001,20.4,0.0451
